row_id,Product,Subsystem,SystemElement,Function,FailureMode,FailureCause,FailureEffect,PreventiveMeasure,DetectiveMeasure,SeverityRating,OccurrenceRating,DetectionRating
1,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Maintain a certain oil concentration limit during the blow-by separation,Exceeds the oil concentration limit,Crankcase design,Too much oil guided to the compressor (turbocharger),,,,,
2,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Maintain a certain oil concentration limit during the blow-by separation,Exceeds the oil concentration limit,CCV (blow-by) system design,Too much oil guided to the compressor (turbocharger),,,,,
3,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Maintain a certain oil concentration limit during the blow-by separation,Exceeds the oil concentration limit,Design for maintenance,Too much oil guided to the compressor (turbocharger),,,,,
4,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Maintain a certain oil concentration limit during the blow-by separation,Exceeds the oil concentration limit,Piping design,Too much oil guided to the compressor (turbocharger),,,,,
5,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Maintain a certain oil concentration limit during the blow-by separation,Exceeds the oil concentration limit,Gasket & O-Ring design,Too much oil guided to the compressor (turbocharger),,,,,
6,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Maintain a certain oil concentration limit during the blow-by separation,Exceeds the oil concentration limit,Insulation design,Too much oil guided to the compressor (turbocharger),,,,,
7,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Maintain a certain oil concentration limit during the blow-by separation,Exceeds the oil concentration limit,"Transient engine operation (start up, cool down)",Too much oil guided to the compressor (turbocharger),,,,,
8,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Maintain a certain oil concentration limit during the blow-by separation,Exceeds the oil concentration limit,Maintenance (oil & filter & oil level),Too much oil guided to the compressor (turbocharger),,,,,
9,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Maintain a certain oil concentration limit during the blow-by separation,Exceeds the oil concentration limit,Power unit,Too much oil guided to the compressor (turbocharger),,,,,
10,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Maintain a certain oil concentration limit during the blow-by separation,Exceeds the oil concentration limit,Turbocharger,Too much oil guided to the compressor (turbocharger),,,,,
11,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Maintain a certain oil concentration limit during the blow-by separation,Exceeds the oil concentration limit,Oil system (oil level sensor),Too much oil guided to the compressor (turbocharger),,,,,
12,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Maintain a certain oil concentration limit during the blow-by separation,Exceeds the oil concentration limit over time,Oil loading in filters,Too much oil guided to the compressor (turbocharger),,,,,
13,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Maintain a certain oil concentration limit during the blow-by separation,Exceeds the oil concentration limit over time,Oil deposit build up (residue on filter mesh and elements etc.),Too much oil guided to the compressor (turbocharger),,,,,
14,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Directs blow-by gas from crankcase to gas mixer,Disturbance/hindrance of flow path,Crankcase design,High pressure in Crankcase,,,,,
15,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Directs blow-by gas from crankcase to gas mixer,Disturbance/hindrance of flow path,CCV (blow-by) system design,High pressure in Crankcase,,,,,
16,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Directs blow-by gas from crankcase to gas mixer,Disturbance/hindrance of flow path,Design for maintenance,High pressure in Crankcase,,,,,
17,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Directs blow-by gas from crankcase to gas mixer,Disturbance/hindrance of flow path,Piping design,High pressure in Crankcase,,,,,
18,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Directs blow-by gas from crankcase to gas mixer,Disturbance/hindrance of flow path,Gasket & O-Ring design,High pressure in Crankcase,,,,,
19,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Directs blow-by gas from crankcase to gas mixer,Disturbance/hindrance of flow path,Insulation design,High pressure in Crankcase,,,,,
20,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Directs blow-by gas from crankcase to gas mixer,Disturbance/hindrance of flow path,Maintenance (oil & filter & oil level),High pressure in Crankcase,,,,,
21,Gas Engine Type 4,Engine Block,CCV (blow-by) system,Directs blow-by gas from crankcase to gas mixer,Disturbance/hindrance of flow path,Power unit,High pressure in Crankcase,,,,,
